Data Series,GDP (Million Dollars)
  2020,480691.2
  2019,514066
  2018,508337.4
  2017,474034.1
  2016,440754.7
  2015,423444.1
  2014,398947.9
  2013,384870.3
  2012,368770.5
  2011,351367.9
  2010,326980.1
  2009,282394.5
  2008,273941.6
  2007,272697.6
  2006,236158.8
  2005,212723
  2004,194433
  2003,170117.9
  2002,165698.1
  2001,160885.6
  2000,165632.4
  1999,146252.5
  1998,143474.9
  1997,148664.4
  1996,135777.2
  1995,124463.3
  1994,112555.4
  1993,97923.1
  1992,84920.2
  1991,78542.8
  1990,70492.3